n,time_diff,position_factor,emri,mbh,total_rate
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,100,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,10,n/a,1000,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,100,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
100,1000,n/a,1000,3,0
